feature,gain,split
PREV_AMT_ANNUITY_MIN,8132.753063964844,413.8
CURRENT_TO_APPROVED_CREDIT_MEAN_RATIO,8102.13569765091,386.3
INS_DBD_MEAN,8077.925565910339,417.9
DAYS_DECISION_MEAN_TO_BIRTH,8027.614524078369,384.3
BUREAU_CONSUMER_AMT_CREDIT_MAX_OVERDUE_MAX,7985.496071767807,352.9
POS_LOAN_COMPLETED_MEAN,7978.067345571518,407.7
CTA_CREDIT_TO_ANNUITY_MAX_RATIO,7924.300654792785,414.7
BUREAU_LAST12M_AMT_CREDIT_SUM_DEBT_SUM,7914.897804164886,374.8
BUREAU_CREDIT_AMT_CREDIT_SUM_MEAN,7899.438056373596,425.4
INS_60M_AMT_PAYMENT_MIN,7874.583517169953,401.6
INS_DAYS_ENTRY_PAYMENT_MAX,7868.874727058411,385.2
PREV_Consumer_DAYS_DECISION_MAX,7850.294108533859,399.9
PREV_Cash_APPLICATION_CREDIT_RATIO_MIN,7847.359141921997,317.9
PREV_Consumer_CNT_PAYMENT_MEAN,7809.9546632289885,396.0
BUREAU_CREDIT_AMT_CREDIT_SUM_MAX,7808.995205402374,406.2
INS_DBD_MAX,7804.873403596878,397.5
INS_AMT_INSTALMENT_SUM,7791.245737457275,294.3
POS_NAME_CONTRACT_STATUS_Active_MEAN,7734.25365152359,398.5
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,7734.202362775803,396.0
BUREAU_CREDIT_ACTIVE_Closed_MEAN,7727.480874300003,274.5
PREV_Cash_APPLICATION_CREDIT_RATIO_MEAN,7706.318830776215,341.1
INS_36M_SIGNIFICANT_LATE_PAYMENT_MEAN,7667.159409284592,247.7
INS_60M_DBD_MAX,7634.51822142601,392.8
APPROVED_DAYS_LAST_DUE_1ST_VERSION_MIN,7629.5030064582825,346.3
INS_AMT_PAYMENT_MIN,7619.842311143875,389.8
PREV_Cash_APPLICATION_CREDIT_DIFF_VAR,7590.799533987045,372.2
APPROVED_CNT_PAYMENT_MEAN,7572.61746673584,328.8
POS_SK_DPD_DEF_MEAN,7571.5651727676395,257.2
PREV_ACTIVE_REMAINING_DEBT_MEAN,7557.6528362751005,346.7
APARTMENTS_AVG,7540.714182329178,365.9
PREV_Consumer_APPLICATION_CREDIT_RATIO_MAX,7476.125545930862,345.9
FLAG_DOCUMENT_3,7455.942855501175,170.8
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,7449.300376653671,335.6
INS_60M_DPD_MEAN,7434.454956245422,258.5
PREV_ACTIVE_AMT_CREDIT_SUM,7425.748397397995,364.6
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,7411.533883047104,351.4
PREV_LAST24M_AMT_CREDIT_SUM,7375.169409561157,366.4
BUREAU_AMT_CREDIT_SUM_MAX,7366.74405579567,350.8
INS_60M_AMT_INSTALMENT_MIN,7363.191082906723,364.7
INS_60M_AMT_PAYMENT_SUM,7359.220261192322,299.0
PREV_LAST12M_DAYS_DECISION_MIN,7339.098571109772,401.4
PREV_LAST24M_AMT_ANNUITY_MEAN,7339.031961870193,385.4
APPROVED_AMT_CREDIT_MIN,7323.2954104423525,380.8
CC_LIMIT_USE_MEAN,7294.570505809784,229.7
INS_36M_DBD_MAX,7273.326804065704,378.2
PREV_Cash_APPLICATION_CREDIT_DIFF_MIN,7226.0589376628395,335.4
APPROVED_AMT_ANNUITY_MIN,7211.874197340012,369.3
APPROVED_DAYS_LAST_DUE_DIFF_MEAN,7195.546716976166,360.3
BUREAU_ACTIVE_AMT_CREDIT_SUM_MAX,7177.490687990188,358.9
BUREAU_LAST6M_DEBT_PERCENTAGE_MEAN,7153.596277427673,312.3
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,7151.876496887207,332.1
APARTMENTS_MODE,7132.348845434189,352.8
APPROVED_SIMPLE_INTERESTS_MEAN,7129.6372447013855,304.3
APPROVED_APPLICATION_CREDIT_RATIO_MEAN,7100.129765462875,360.3
PREV_LAST12M_DAYS_DECISION_MEAN,7023.716844701767,388.3
PREV_LAST12M_SIMPLE_INTERESTS_MAX,7006.2966526508335,341.0
PREV_AMT_ANNUITY_MEAN,6998.484204864502,374.4
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,6933.91878490448,303.3
APPROVED_CREDIT_TO_ANNUITY_RATIO_MEAN,6905.306665086746,326.4
PREV_APPLICATION_CREDIT_DIFF_MEAN,6892.431289863586,342.3
INS_60M_DAYS_ENTRY_PAYMENT_MAX,6847.312883758545,339.2
CC_CNT_DRAWINGS_CURRENT_MAX,6840.922551393509,307.2
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,6839.177332353592,376.4
PREV_LAST24M_SIMPLE_INTERESTS_MEAN,6791.562685871124,334.9
INS_36M_AMT_PAYMENT_SUM,6783.011687707901,290.7
INS_SK_ID_PREV_SIZE,6750.316362524032,295.5
BUREAU_LAST6M_AMT_CREDIT_SUM_SUM,6746.514128351211,334.4
PREV_LAST24M_APPLICATION_CREDIT_DIFF_MIN,6712.401639080048,322.7
PREV_DAYS_DECISION_MAX,6696.1961012840275,351.0
